club_name,url,element_id,value
,https://www.capology.comClub,weekly-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.120)
Stacktrace:
	GetHandleVerifier [0x00538213+26163]
	(No symbol) [0x004C9CC4]
	(No symbol) [0x003C24C3]
	(No symbol) [0x003BAAD1]
	(No symbol) [0x003AE668]
	(No symbol) [0x003B008B]
	(No symbol) [0x003AE8B7]
	(No symbol) [0x003AE25C]
	(No symbol) [0x003AE188]
	(No symbol) [0x003AC588]
	(No symbol) [0x003ACB1B]
	(No symbol) [0x003C4F04]
	(No symbol) [0x00445107]
	(No symbol) [0x0042ACBC]
	(No symbol) [0x00444661]
	(No symbol) [0x0042AA56]
	(No symbol) [0x003FBE89]
	(No symbol) [0x003FC8CD]
	GetHandleVerifier [0x0080D313+2996019]
	GetHandleVerifier [0x00861B89+3342249]
	GetHandleVerifier [0x005C7AEF+614159]
	GetHandleVerifier [0x005CF17C+644508]
	(No symbol) [0x004D27FD]
	(No symbol) [0x004CF6F8]
	(No symbol) [0x004CF895]
	(No symbol) [0x004C1C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.comClub,annual-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.120)
Stacktrace:
	GetHandleVerifier [0x00538213+26163]
	(No symbol) [0x004C9CC4]
	(No symbol) [0x003C24C3]
	(No symbol) [0x003BAAD1]
	(No symbol) [0x003AE668]
	(No symbol) [0x003B008B]
	(No symbol) [0x003AE8B7]
	(No symbol) [0x003AE25C]
	(No symbol) [0x003AE188]
	(No symbol) [0x003AC588]
	(No symbol) [0x003ACB1B]
	(No symbol) [0x003C4F04]
	(No symbol) [0x00445107]
	(No symbol) [0x0042ACBC]
	(No symbol) [0x00444661]
	(No symbol) [0x0042AA56]
	(No symbol) [0x003FBE89]
	(No symbol) [0x003FC8CD]
	GetHandleVerifier [0x0080D313+2996019]
	GetHandleVerifier [0x00861B89+3342249]
	GetHandleVerifier [0x005C7AEF+614159]
	GetHandleVerifier [0x005CF17C+644508]
	(No symbol) [0x004D27FD]
	(No symbol) [0x004CF6F8]
	(No symbol) [0x004CF895]
	(No symbol) [0x004C1C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.com/club/augsburg/salaries/,weekly-avg,"€9,019"
,https://www.capology.com/club/augsburg/salaries/,annual-avg,"€469,000"
,https://www.capology.com/club/bayer-leverkusen/salaries/,weekly-avg,"€50,062"
,https://www.capology.com/club/bayer-leverkusen/salaries/,annual-avg,"€2,603,200"
,https://www.capology.com/club/bayern-munich/salaries/,weekly-avg,"€166,011"
,https://www.capology.com/club/bayern-munich/salaries/,annual-avg,"€8,632,581"
,https://www.capology.com/club/bochum/salaries/,weekly-avg,"€9,454"
,https://www.capology.com/club/bochum/salaries/,annual-avg,"€491,613"
,https://www.capology.com/club/borussia-dortmund/salaries/,weekly-avg,"€65,117"
,https://www.capology.com/club/borussia-dortmund/salaries/,annual-avg,"€3,386,071"
,https://www.capology.com/club/eintracht-frankfurt/salaries/,weekly-avg,"€23,875"
,https://www.capology.com/club/eintracht-frankfurt/salaries/,annual-avg,"€1,241,481"
,https://www.capology.com/club/freiburg/salaries/,weekly-avg,"€14,224"
,https://www.capology.com/club/freiburg/salaries/,annual-avg,"€739,655"
,https://www.capology.com/club/heidenheim/salaries/,weekly-avg,"€6,690"
,https://www.capology.com/club/heidenheim/salaries/,annual-avg,"€347,857"
,https://www.capology.com/club/hoffenheim/salaries/,weekly-avg,"€26,365"
,https://www.capology.com/club/hoffenheim/salaries/,annual-avg,"€1,370,968"
,https://www.capology.com/club/holstein-kiel/salaries/,weekly-avg,"€5,584"
,https://www.capology.com/club/holstein-kiel/salaries/,annual-avg,"€290,357"
,https://www.capology.com/club/leipzig/salaries/,weekly-avg,"€70,469"
,https://www.capology.com/club/leipzig/salaries/,annual-avg,"€3,664,400"
,https://www.capology.com/club/mainz/salaries/,weekly-avg,"€18,315"
,https://www.capology.com/club/mainz/salaries/,annual-avg,"€952,400"
,https://www.capology.com/club/monchengladbach/salaries/,weekly-avg,"€26,446"
,https://www.capology.com/club/monchengladbach/salaries/,annual-avg,"€1,375,185"
,https://www.capology.com/club/st-pauli/salaries/,weekly-avg,"€7,953"
,https://www.capology.com/club/st-pauli/salaries/,annual-avg,"€413,571"
,https://www.capology.com/club/stuttgart/salaries/,weekly-avg,"€15,649"
,https://www.capology.com/club/stuttgart/salaries/,annual-avg,"€813,750"
,https://www.capology.com/club/union-berlin/salaries/,weekly-avg,"€14,615"
,https://www.capology.com/club/union-berlin/salaries/,annual-avg,"€760,000"
,https://www.capology.com/club/werder-bremen/salaries/,weekly-avg,"€16,887"
,https://www.capology.com/club/werder-bremen/salaries/,annual-avg,"€878,148"
,https://www.capology.com/club/wolfsburg/salaries/,weekly-avg,"€28,304"
,https://www.capology.com/club/wolfsburg/salaries/,annual-avg,"€1,471,818"
