club_name,url,element_id,value
,https://www.capology.comClub,weekly-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.114)
Stacktrace:
	GetHandleVerifier [0x005C8213+26163]
	(No symbol) [0x00559CC4]
	(No symbol) [0x004524C3]
	(No symbol) [0x0044AAD1]
	(No symbol) [0x0043E668]
	(No symbol) [0x0044008B]
	(No symbol) [0x0043E8B7]
	(No symbol) [0x0043E25C]
	(No symbol) [0x0043E188]
	(No symbol) [0x0043C588]
	(No symbol) [0x0043CB1B]
	(No symbol) [0x00454F04]
	(No symbol) [0x004D5107]
	(No symbol) [0x004BACBC]
	(No symbol) [0x004D4661]
	(No symbol) [0x004BAA56]
	(No symbol) [0x0048BE89]
	(No symbol) [0x0048C8CD]
	GetHandleVerifier [0x0089D313+2996019]
	GetHandleVerifier [0x008F1B89+3342249]
	GetHandleVerifier [0x00657AEF+614159]
	GetHandleVerifier [0x0065F17C+644508]
	(No symbol) [0x005627FD]
	(No symbol) [0x0055F6F8]
	(No symbol) [0x0055F895]
	(No symbol) [0x00551C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.comClub,annual-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.114)
Stacktrace:
	GetHandleVerifier [0x005C8213+26163]
	(No symbol) [0x00559CC4]
	(No symbol) [0x004524C3]
	(No symbol) [0x0044AAD1]
	(No symbol) [0x0043E668]
	(No symbol) [0x0044008B]
	(No symbol) [0x0043E8B7]
	(No symbol) [0x0043E25C]
	(No symbol) [0x0043E188]
	(No symbol) [0x0043C588]
	(No symbol) [0x0043CB1B]
	(No symbol) [0x00454F04]
	(No symbol) [0x004D5107]
	(No symbol) [0x004BACBC]
	(No symbol) [0x004D4661]
	(No symbol) [0x004BAA56]
	(No symbol) [0x0048BE89]
	(No symbol) [0x0048C8CD]
	GetHandleVerifier [0x0089D313+2996019]
	GetHandleVerifier [0x008F1B89+3342249]
	GetHandleVerifier [0x00657AEF+614159]
	GetHandleVerifier [0x0065F17C+644508]
	(No symbol) [0x005627FD]
	(No symbol) [0x0055F6F8]
	(No symbol) [0x0055F895]
	(No symbol) [0x00551C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.com/club/argentinos-juniors/salaries/2024/,weekly-avg,"$3,495"
,https://www.capology.com/club/argentinos-juniors/salaries/2024/,annual-avg,"$181,724"
,https://www.capology.com/club/banfield/salaries/2024/,weekly-avg,"$3,306"
,https://www.capology.com/club/banfield/salaries/2024/,annual-avg,"$171,935"
,https://www.capology.com/club/barracas/salaries/2024/,weekly-avg,"$3,481"
,https://www.capology.com/club/barracas/salaries/2024/,annual-avg,"$181,000"
,https://www.capology.com/club/belgrano/salaries/2024/,weekly-avg,"$4,596"
,https://www.capology.com/club/belgrano/salaries/2024/,annual-avg,"$239,000"
