club_name,url,element_id,value
,https://www.capology.comClub,weekly-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.120)
Stacktrace:
	GetHandleVerifier [0x00538213+26163]
	(No symbol) [0x004C9CC4]
	(No symbol) [0x003C24C3]
	(No symbol) [0x003BAAD1]
	(No symbol) [0x003AE668]
	(No symbol) [0x003B008B]
	(No symbol) [0x003AE8B7]
	(No symbol) [0x003AE25C]
	(No symbol) [0x003AE188]
	(No symbol) [0x003AC588]
	(No symbol) [0x003ACB1B]
	(No symbol) [0x003C4F04]
	(No symbol) [0x00445107]
	(No symbol) [0x0042ACBC]
	(No symbol) [0x00444661]
	(No symbol) [0x0042AA56]
	(No symbol) [0x003FBE89]
	(No symbol) [0x003FC8CD]
	GetHandleVerifier [0x0080D313+2996019]
	GetHandleVerifier [0x00861B89+3342249]
	GetHandleVerifier [0x005C7AEF+614159]
	GetHandleVerifier [0x005CF17C+644508]
	(No symbol) [0x004D27FD]
	(No symbol) [0x004CF6F8]
	(No symbol) [0x004CF895]
	(No symbol) [0x004C1C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.comClub,annual-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.120)
Stacktrace:
	GetHandleVerifier [0x00538213+26163]
	(No symbol) [0x004C9CC4]
	(No symbol) [0x003C24C3]
	(No symbol) [0x003BAAD1]
	(No symbol) [0x003AE668]
	(No symbol) [0x003B008B]
	(No symbol) [0x003AE8B7]
	(No symbol) [0x003AE25C]
	(No symbol) [0x003AE188]
	(No symbol) [0x003AC588]
	(No symbol) [0x003ACB1B]
	(No symbol) [0x003C4F04]
	(No symbol) [0x00445107]
	(No symbol) [0x0042ACBC]
	(No symbol) [0x00444661]
	(No symbol) [0x0042AA56]
	(No symbol) [0x003FBE89]
	(No symbol) [0x003FC8CD]
	GetHandleVerifier [0x0080D313+2996019]
	GetHandleVerifier [0x00861B89+3342249]
	GetHandleVerifier [0x005C7AEF+614159]
	GetHandleVerifier [0x005CF17C+644508]
	(No symbol) [0x004D27FD]
	(No symbol) [0x004CF6F8]
	(No symbol) [0x004CF895]
	(No symbol) [0x004C1C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.com/club/aberdeen/salaries/,weekly-avg,"£2,160"
,https://www.capology.com/club/aberdeen/salaries/,annual-avg,"£112,330"
,https://www.capology.com/club/celtic/salaries/,weekly-avg,"£10,130"
,https://www.capology.com/club/celtic/salaries/,annual-avg,"£526,786"
,https://www.capology.com/club/dundee/salaries/,weekly-avg,"£1,381"
,https://www.capology.com/club/dundee/salaries/,annual-avg,"£71,816"
,https://www.capology.com/club/dundee-united/salaries/,weekly-avg,£338
,https://www.capology.com/club/dundee-united/salaries/,annual-avg,"£17,565"
,https://www.capology.com/club/hearts/salaries/,weekly-avg,"£2,285"
,https://www.capology.com/club/hearts/salaries/,annual-avg,"£118,841"
,https://www.capology.com/club/hibernian/salaries/,weekly-avg,"£2,915"
,https://www.capology.com/club/hibernian/salaries/,annual-avg,"£151,571"
,https://www.capology.com/club/kilmarnock/salaries/,weekly-avg,"£1,974"
,https://www.capology.com/club/kilmarnock/salaries/,annual-avg,"£102,650"
,https://www.capology.com/club/motherwell/salaries/,weekly-avg,"£1,194"
,https://www.capology.com/club/motherwell/salaries/,annual-avg,"£62,081"
,https://www.capology.com/club/rangers/salaries/,weekly-avg,"£12,979"
,https://www.capology.com/club/rangers/salaries/,annual-avg,"£674,897"
,https://www.capology.com/club/ross-county/salaries/,weekly-avg,£975
,https://www.capology.com/club/ross-county/salaries/,annual-avg,"£50,697"
,https://www.capology.com/club/st-johnstone/salaries/,weekly-avg,"£1,087"
,https://www.capology.com/club/st-johnstone/salaries/,annual-avg,"£56,531"
,https://www.capology.com/club/st-mirren/salaries/,weekly-avg,"£2,094"
,https://www.capology.com/club/st-mirren/salaries/,annual-avg,"£108,904"
