gclub_name,url,element_id,value
,https://www.capology.comClub,weekly-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.120)
Stacktrace:
	GetHandleVerifier [0x00538213+26163]
	(No symbol) [0x004C9CC4]
	(No symbol) [0x003C24C3]
	(No symbol) [0x003BAAD1]
	(No symbol) [0x003AE668]
	(No symbol) [0x003B008B]
	(No symbol) [0x003AE8B7]
	(No symbol) [0x003AE25C]
	(No symbol) [0x003AE188]
	(No symbol) [0x003AC588]
	(No symbol) [0x003ACB1B]
	(No symbol) [0x003C4F04]
	(No symbol) [0x00445107]
	(No symbol) [0x0042ACBC]
	(No symbol) [0x00444661]
	(No symbol) [0x0042AA56]
	(No symbol) [0x003FBE89]
	(No symbol) [0x003FC8CD]
	GetHandleVerifier [0x0080D313+2996019]
	GetHandleVerifier [0x00861B89+3342249]
	GetHandleVerifier [0x005C7AEF+614159]
	GetHandleVerifier [0x005CF17C+644508]
	(No symbol) [0x004D27FD]
	(No symbol) [0x004CF6F8]
	(No symbol) [0x004CF895]
	(No symbol) [0x004C1C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.comClub,annual-avg,"Error: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=128.0.6613.120)
Stacktrace:
	GetHandleVerifier [0x00538213+26163]
	(No symbol) [0x004C9CC4]
	(No symbol) [0x003C24C3]
	(No symbol) [0x003BAAD1]
	(No symbol) [0x003AE668]
	(No symbol) [0x003B008B]
	(No symbol) [0x003AE8B7]
	(No symbol) [0x003AE25C]
	(No symbol) [0x003AE188]
	(No symbol) [0x003AC588]
	(No symbol) [0x003ACB1B]
	(No symbol) [0x003C4F04]
	(No symbol) [0x00445107]
	(No symbol) [0x0042ACBC]
	(No symbol) [0x00444661]
	(No symbol) [0x0042AA56]
	(No symbol) [0x003FBE89]
	(No symbol) [0x003FC8CD]
	GetHandleVerifier [0x0080D313+2996019]
	GetHandleVerifier [0x00861B89+3342249]
	GetHandleVerifier [0x005C7AEF+614159]
	GetHandleVerifier [0x005CF17C+644508]
	(No symbol) [0x004D27FD]
	(No symbol) [0x004CF6F8]
	(No symbol) [0x004CF895]
	(No symbol) [0x004C1C16]
	BaseThreadInitThunk [0x76E77BA9+25]
	RtlInitializeExceptionChain [0x7783C10B+107]
	RtlClearBits [0x7783C08F+191]
"
,https://www.capology.com/club/desna-chernihiv/salaries/2019-2020/,weekly-avg,"€1,355"
,https://www.capology.com/club/desna-chernihiv/salaries/2019-2020/,annual-avg,"€70,455"
,https://www.capology.com/club/dnipro-1/salaries/2019-2020/,weekly-avg,"€1,204"
,https://www.capology.com/club/dnipro-1/salaries/2019-2020/,annual-avg,"€62,609"
,https://www.capology.com/club/dynamo-kyiv/salaries/2019-2020/,weekly-avg,"€9,271"
,https://www.capology.com/club/dynamo-kyiv/salaries/2019-2020/,annual-avg,"€482,083"
,https://www.capology.com/club/inhulets-petrove/salaries/2019-2020/,weekly-avg,Elemento con ID 'weekly-avg' no encontrado en la página.
,https://www.capology.com/club/inhulets-petrove/salaries/2019-2020/,annual-avg,Elemento con ID 'annual-avg' no encontrado en la página.
,https://www.capology.com/club/kolos-kovalivka/salaries/2019-2020/,weekly-avg,€419
,https://www.capology.com/club/kolos-kovalivka/salaries/2019-2020/,annual-avg,"€21,786"
,https://www.capology.com/club/lviv/salaries/2019-2020/,weekly-avg,€585
,https://www.capology.com/club/lviv/salaries/2019-2020/,annual-avg,"€30,400"
,https://www.capology.com/club/mariupol/salaries/2019-2020/,weekly-avg,€828
,https://www.capology.com/club/mariupol/salaries/2019-2020/,annual-avg,"€43,077"
,https://www.capology.com/club/minaj/salaries/2019-2020/,weekly-avg,Elemento con ID 'weekly-avg' no encontrado en la página.
,https://www.capology.com/club/minaj/salaries/2019-2020/,annual-avg,Elemento con ID 'annual-avg' no encontrado en la página.
,https://www.capology.com/club/oleksandriya/salaries/2019-2020/,weekly-avg,"€1,229"
,https://www.capology.com/club/oleksandriya/salaries/2019-2020/,annual-avg,"€63,929"
,https://www.capology.com/club/olimpik-donetsk/salaries/2019-2020/,weekly-avg,€954
,https://www.capology.com/club/olimpik-donetsk/salaries/2019-2020/,annual-avg,"€49,600"
,https://www.capology.com/club/rukh-lviv/salaries/2019-2020/,weekly-avg,Elemento con ID 'weekly-avg' no encontrado en la página.
,https://www.capology.com/club/rukh-lviv/salaries/2019-2020/,annual-avg,Elemento con ID 'annual-avg' no encontrado en la página.
,https://www.capology.com/club/shakhtar-donetsk/salaries/2019-2020/,weekly-avg,"€13,218"
,https://www.capology.com/club/shakhtar-donetsk/salaries/2019-2020/,annual-avg,"€687,333"
,https://www.capology.com/club/vorskla-poltava/salaries/2019-2020/,weekly-avg,"€1,332"
,https://www.capology.com/club/vorskla-poltava/salaries/2019-2020/,annual-avg,"€69,286"
,https://www.capology.com/club/zorya-luhansk/salaries/2019-2020/,weekly-avg,"€2,091"
,https://www.capology.com/club/zorya-luhansk/salaries/2019-2020/,annual-avg,"€108,750"
