Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Parte del tweet
Jefferson Savarino,Venezolano,Botafogo,"""El maracucho""",https://twitter.com/SOLOVENEX_/status/1836788008357417004#m,"Sep 19, 2024","""El maracucho"""
David Martínez,Venezolano,LAFC,"""El ex Monagas""",https://twitter.com/SOLOVENEX_/status/1836731886330126485#m,"Sep 19, 2024","""El ex Monagas"""
Juan Arango Jr.,Venezolano,Girona,"""El hijo del mítico 18""",https://twitter.com/SOLOVENEX_/status/1836458309840199818#m,"Sep 18, 2024","""El hijo del mítico 18"""
Yordan Osorio,Venezolano,Parma,"""El barinés""",https://twitter.com/SOLOVENEX_/status/1836146859422945773#m,"Sep 17, 2024","""El barinés"""
Daniel Maldini,Venezolano,Monza,"""Es hijo de Adriana Fossa, ex modelo venezolana y esposa de Paolo Maldini.""",https://twitter.com/SOLOVENEX_/status/1835669726791393365#m,"Sep 16, 2024","""Es hijo de Adriana Fossa, ex modelo venezolana y esposa de Paolo Maldini."""
Dani Nieto,Español,Anzoátegui FC,"""El único jugador español de la Liga FUTVE 1 y 2""",https://twitter.com/SOLOVENEX_/status/1835739583797133389#m,"Sep 16, 2024","""El único jugador español de la Liga FUTVE 1 y 2"""
José Correa,Venezolano,incompleto,No se encontró información,https://twitter.com/carlostaracher/status/1835712436382355852#m,"Sep 16, 2024",No se encontró información
Jon Aramburu,Venezolano,Real Sociedad,"""El saludo entre el crack brasileño y el venezolano de la @RealSociedad""",https://twitter.com/SOLOVENEX_/status/1835093710046216334#m,"Sep 14, 2024","""El saludo entre el crack brasileño y el venezolano de la @RealSociedad"""
Carlos Rojas,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1835019774239109256#m,"Sep 14, 2024",No se encontró información
Juan Añor,Venezolano,Caracas FC,"""El volante 10 de perfil zurdo se reencuentra con Fernando Aristeguieta y fue convocado para el partido de este sábado ante Angostura.  Añor portará el dorsal ‘08’ en su regreso al ‘Rojo’.""",https://twitter.com/SOLOVENEX_/status/1834936449461878857#m,"Sep 14, 2024",No se encontró información
Carlos Jesús Rojas,Venezolano,University Central of Florida,"""Carlos Jesús, delantero centro de amplia proyección, es hermano de Juan Rojas (2008), el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América y viene de anotar dos goles y repartir una asistencia en su debut oficial en la NCAA con la UCF.  Atacante de juego aéreo dominante gracias a sus 2.01 MTS de altura y una notable capacidad de espaldas al arco y definición. Nacido en Valencia, y es pieza elegible para la selección nacional U20.""",https://twitter.com/SOLOVENEX_/status/1834641418255503805#m,"Sep 13, 2024","""Carlos Jesús, delantero centro de amplia proyección, es hermano de Juan Rojas (2008), el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América y viene de anotar dos goles y repartir una asistencia en su debut oficial en la NCAA con la UCF.  Atacante de juego aéreo dominante gracias a sus 2.01 MTS de altura y una notable capacidad de espaldas al arco y definición. Nacido en Valencia, y es pieza elegible para la selección nacional U20."""
Juan Rojas,Venezolano,incompleto,"""Carlos Jesús, delantero centro de amplia proyección, es hermano de Juan Rojas (2008), el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América y viene de anotar dos goles y repartir una asistencia en su debut oficial en la NCAA con la UCF.  Atacante de juego aéreo dominante gracias a sus 2.01 MTS de altura y una notable capacidad de espaldas al arco y definición. Nacido en Valencia, y es pieza elegible para la selección nacional U20.""",https://twitter.com/SOLOVENEX_/status/1834641418255503805#m,"Sep 13, 2024","""Carlos Jesús, delantero centro de amplia proyección, es hermano de Juan Rojas (2008), el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América y viene de anotar dos goles y repartir una asistencia en su debut oficial en la NCAA con la UCF.  Atacante de juego aéreo dominante gracias a sus 2.01 MTS de altura y una notable capacidad de espaldas al arco y definición. Nacido en Valencia, y es pieza elegible para la selección nacional U20."""
