Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Parte del tweet
"Savarino, Jefferson",Venezolano,Botafogo,No se encontró información,https://twitter.com/SOLOVENEX_/status/1836788008357417004#m,"Sep 19, 2024 · 3:22 PM UTC","""El maracucho fue titular"""
"Martínez, David",Venezolano,LAFC,No se encontró información,https://twitter.com/LAFC/status/1836616613468213733#m,"Sep 19, 2024 · 4:01 AM UTC",No se encontró información
"Arango Jr, Juan",Venezolano,Girona,"""El hijo del mítico 18""",https://twitter.com/SOLOVENEX_/status/1836458309840199818#m,"Sep 18, 2024 · 5:32 PM UTC","""El hijo del mítico 18"""
"Osorio, Yordan",Venezolano,Parma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1836146859422945773#m,"Sep 17, 2024 · 8:54 PM UTC","""El barinés"""
"Maldini, Daniel",Italiano,Monza,"""Es hijo de Adriana Fossa, ex modelo venezolana y esposa de Paolo Maldini.""",https://twitter.com/SOLOVENEX_/status/1835669726791393365#m,"Sep 16, 2024 · 1:19 PM UTC","""Es hijo de Adriana Fossa, ex modelo venezolana y esposa de Paolo Maldini."""
"Martínez, José",Venezolano,Corinthians,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830365314594251011#m,"Sep 1, 2024 · 10:01 PM UTC","""El ímpetu del volante maracucho"""
"Kelsy, Kevin",Venezolano,Cincinnati,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830066567645712405#m,"Sep 1, 2024 · 2:14 AM UTC","""El delantero valenciano"""
"Guerra, Luis",Venezolano,Antofagasta,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829942982566690836#m,"Aug 31, 2024 · 6:03 PM UTC",No se encontró información
"Chancellor, Jhon",Venezolano,Universidad Católica (Ecuador),No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024 · 2:05 AM UTC",No se encontró información
"Luna, Diego",Venezolano,Kimkhi FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829610581193806065#m,"Aug 30, 2024 · 8:02 PM UTC",No se encontró información
"Lacava, Matías",Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024 · 7:20 PM UTC",No se encontró información
"Quieto, Daniele",Venezolano,Inter de Milán,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1829256513195782654#m,"Aug 29, 2024 · 8:35 PM UTC","""de madre venezolana"""
"Ponce, Andrés",Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024 · 2:45 PM UTC",No se encontró información
"Rivas, Renné",Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024 · 11:21 PM UTC",No se encontró información
"Zauner, Enrique Peña",Venezolano,Roda JC Kerkrade,"""germano - venezolano""",https://twitter.com/SOLOVENEX_/status/1828559548208079023#m,"Aug 27, 2024 · 10:25 PM UTC","""germano - venezolano"""
"Rojas, Carlos",Venezolano,incompleto,"""hermano de Juan Rojas (2008), el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América""",https://twitter.com/SOLOVENEX_/status/1834641418255503805#m,"Sep 13, 2024 · 5:12 PM UTC","""hermano de Juan Rojas (2008), el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América"""
