Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Parte del tweet
Jon Mikel Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1837614128396972102#m,"Sep 21, 2024","""venezolano"""
Jhonder Cádiz,Venezolano,Club León,"""delantero caraqueño""",https://twitter.com/SOLOVENEX_/status/1837660758093844989#m,"Sep 22, 2024",No se encontró información
Salomón Rondón,Venezolano,Pachuca,"""venezolano"", ""El gladiador venezolano""",https://twitter.com/SOLOVENEX_/status/1837317464524476486#m,"Sep 21, 2024",No se encontró información
Darwin Machís,Venezolano,Real Valladolid,No se encontró información,https://twitter.com/SOLOVENEX_/status/1837614128396972102#m,"Sep 21, 2024",No se encontró información
Juan Arango Jr.,Venezolano,Girona,"""El hijo del mítico 18""",https://twitter.com/SOLOVENEX_/status/1836458309840199818#m,"Sep 18, 2024",No se encontró información
Yordan Osorio,Venezolano,Parma,"""barinés""",https://twitter.com/SOLOVENEX_/status/1836146859422945773#m,"Sep 17, 2024",No se encontró información
Daniel Maldini,Venezolano,Monza,"""Es hijo de Adriana Fossa, ex modelo venezolana y esposa de Paolo Maldini.""",https://twitter.com/SOLOVENEX_/status/1835669726791393365#m,"Sep 16, 2024",No se encontró información
Dani Nieto,Español,Anzoátegui,"""el único jugador español de la Liga FUTVE 1 y 2""",https://twitter.com/SOLOVENEX_/status/1835739583797133389#m,"Sep 16, 2024",No se encontró información
José Correa,Venezolano,incompleto,No se encontró información,https://twitter.com/carlostaracher/status/1835712436382355852#m,"Sep 16, 2024",No se encontró información
David Martínez,Venezolano,LAFC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1837163891912016274#m,"Sep 20, 2024",No se encontró información
"José ""Brujo"" Martínez",Venezolano,Corinthians,No se encontró información,https://twitter.com/SOLOVENEX_/status/1837163891912016274#m,"Sep 20, 2024",No se encontró información
Deivid Tegues,Venezolano,Sochi,No se encontró información,https://twitter.com/SOLOVENEX_/status/1837124256066355653#m,"Sep 20, 2024",No se encontró información
Q. Savarino,Venezolano,Botafogo,"""maracucho""",https://twitter.com/SOLOVENEX_/status/1836788008357417004#m,"Sep 19, 2024",No se encontró información
Dani Pereira,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1836731886330126485#m,"Sep 19, 2024",No se encontró información
Juan Arango Jr.,Venezolano,incompleto,"""El hijo del mítico 18""",https://twitter.com/SOLOVENEX_/status/1836458309840199818#m,"Sep 18, 2024",No se encontró información
Carlos Jesús Rojas,Venezolano,incompleto,"""Nacido en Valencia, y es pieza elegible para la selección nacional U20.""",https://twitter.com/SOLOVENEX_/status/1834641418255503805#m,"Sep 13, 2024",No se encontró información
Saúl Guarirapa,Venezolano,CSKA,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834305236988498227#m,"Sep 12, 2024",No se encontró información
Deivid Tegues,Venezolano,Chernomorets,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834229309579428033#m,"Sep 12, 2024",No se encontró información
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1833713059828744465#m,"Sep 11, 2024",No se encontró información
Yeferson Soteldo,Venezolano,Grêmio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1833570127192985742#m,"Sep 10, 2024",No se encontró información
Teo Quintero,Venezolano,Sparta Rotterdam,"""de padres venezolanos""",https://twitter.com/SOLOVENEX_/status/1822615644610687198#m,"Aug 11, 2024",No se encontró información
Javier Suárez,Venezolano,incompleto,"""lateral derecho venezolano que representa a las inferiores de México""",https://twitter.com/SOLOVENEX_/status/1822460204832735514#m,"Aug 11, 2024",No se encontró información
Cristian Cásseres,Venezolano,Toulouse,No se encontró información,https://twitter.com/SOLOVENEX_/status/1822366898442420690#m,"Aug 11, 2024",No se encontró información
Nahuel Ferraresi,Venezolano,São Paulo,No se encontró información,https://twitter.com/SOLOVENEX_/status/1822330500574327085#m,"Aug 10, 2024",No se encontró información
Jhon Chancellor,Venezolano,Universidad Católica,No se encontró información,https://twitter.com/SOLOVENEX_/status/1822318156527874057#m,"Aug 10, 2024",No se encontró información
Daniele Quieto,Venezolano,Inter,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1821609020282503222#m,"Aug 8, 2024",No se encontró información
Adalberto Peñaranda,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1821509002049528061#m,"Aug 8, 2024",No se encontró información
Andrés Ponce,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1820809201859661948#m,"Aug 8, 2024",No se encontró información
Frank Torres Victori,Venezolano,CD Galapagar,"""Nacido en Caracas, de pasaporte español""",https://twitter.com/SOLOVENEX_/status/1820557697827459103#m,"Aug 5, 2024",No se encontró información
Eduard Bello,Venezolano,Barcelona SC,"""El nativo de Cúa""",https://twitter.com/SOLOVENEX_/status/1820113488737419682#m,"Aug 4, 2024",No se encontró información
Wilker Ángel,Venezolano,Criciúma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1820073396677267494#m,"Aug 4, 2024",No se encontró información
Carlos Széplaki,Venezolano,Gárdony VSC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1819840331493286194#m,"Aug 3, 2024",No se encontró información
Carlos Faya,Venezolano,incompleto,"""Se crió en Valencia, de la mano de su padre y su madre, esta última, siendo bastión principal en una de sus grandes incógnitas de niño: ¿jugar al béisbol o decidirse por el fútbol?""",https://twitter.com/SOLOVENEX_/status/1819030252154159230#m,"Aug 1, 2024",No se encontró información
