Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Citar la parte del tweet en donde encontraste la informacion solicitada
Rómulo Otero,Venezolano,Santos FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1750956186168402081,"Jan 26, 2024","""Soteldo es el nuevo #7 del Gremio! 🇻🇪   #VenEx #Soteldo #Gremio #SoloVenex"
"""",,Yeferson Soteldo,Venezolano,Gremio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1750956186168402081
"""Soteldo es el nuevo #7 del Gremio! 🇻🇪   #VenEx #Soteldo #Gremio #SoloVenex",📸 Imagen cortesía,"""",,Yordan Osorio,Venezolano,Parma
https://twitter.com/SOLOVENEX_/status/1750912485861793868,"Jan 26, 2024","""𝗢𝗙𝗜𝗖𝗜𝗔𝗟: Yordan Osorio hasta 𝟮𝟬𝟮𝟱 🇮🇹  ¡Pulgar arriba para el central barinés! 👍🏻  • Su notable rendimiento en 2023 le aseguró la continuidad en el exigente fútbol itálico. 𝗧𝗢𝗣.  #VenEx #Osorio #LegaB #SoloVenex",🎥 @1913parmacalcio,"""",,Leenhan Romero
Universidad Católica,No se encontró información,https://twitter.com/SOLOVENEX_/status/1750285077404107140,"Jan 25, 2024","""Así comenzó: 👶🏽 ➡️ Así va: ⭐️  𝗟𝗘𝗘𝗡𝗛𝗔𝗡 𝗥𝗢𝗠𝗘𝗥𝗢 (𝟮𝟬𝟬𝟲) hizo su presentación este miércoles con el primer equipo de la Universidad Católica en la victoria 0-1 sobre Coquimbo por la Copa de Verano 2024, torneo preparatorio que se juega previo al inicio del torneo local. Ingresó al 67’ con el dorsal #32 uno de los proyectos más ambiciosos del elenco ‘cruzado’ en la actualidad. El canterano ya suma minutos con la máxima categoría. El momento finalmente ha llegado: ¡𝗗𝗘𝗕𝗨𝗧𝗢́ 𝗘𝗟 𝗖𝗛𝗔𝗠𝗢! 🇻🇪  .@Cruzados #VenEx #Leenhan #Chile #SoloVenex""",,Jefferson Savarino
Botafogo,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745414974762074423,"Jan 11, 2024","""🚨 𝗢𝗙𝗜𝗖𝗜𝗔𝗟: ¡Jefferson #Savarino vuelve a Brasil y así fue anunciado por Botafogo!  • Con ellos jugará la fase 02 de la Copa Libertadores. Será su 𝗦𝗘𝗚𝗨𝗡𝗗𝗔 𝗘𝗧𝗔𝗣𝗔 en suelo amazónico tras su paso por Atlético Mineiro.  • ‘𝑺𝑨𝑽𝑨’ fue adquirido por el elenco brasileño desde el #RealSaltLake de la #MLS por una cifra que ronda los 2.7 M$. Informó @tombogert.   #VenEx #Oficial #Savarino #SoloVenex",🎥 @Botafogo,""""
Jhon Murillo,Venezolano,Atlas FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745414974762074423,"Jan 11, 2024","""🚨 𝗢𝗙𝗜𝗖𝗜𝗔𝗟: ¡Jefferson #Savarino vuelve a Brasil y así fue anunciado por Botafogo!  • Con ellos jugará la fase 02 de la Copa Libertadores. Será su 𝗦𝗘𝗚𝗨𝗡𝗗𝗔 𝗘𝗧𝗔𝗣𝗔 en suelo amazónico tras su paso por Atlético Mineiro.  • ‘𝑺𝑨𝑽𝑨’ fue adquirido por el elenco brasileño desde el #RealSaltLake de la #MLS por una cifra que ronda los 2.7 M$. Informó @tombogert.   #VenEx #Oficial #Savarino #SoloVenex"
"""",,Rómulo Otero,Venezolano,Santos FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1748876855476630010
"""📍 𝗙𝗧 en Caracas: Venezuela 3-3 Bolivia.   • La @SeleVinotinto rasga apenas un punto en su debut en el #TorneoPreolímpico — 2024.  ⚽️ • Lacava (37’), Bolívar (41’) y Rivas (63’).  #CONMEBOLPreolimpico",@PonceRance,"""",,Jovanny Bolívar,Venezolano,Incompleto
https://twitter.com/SOLOVENEX_/status/1748876855476630010,"Jan 21, 2024","""📍 𝗙𝗧 en Caracas: Venezuela 3-3 Bolivia.   • La @SeleVinotinto rasga apenas un punto en su debut en el #TorneoPreolímpico — 2024.  ⚽️ • Lacava (37’), Bolívar (41’) y Rivas (63’).  #CONMEBOLPreolimpico",@PonceRance,"""",,Matías Lacava
Incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1748876855476630010,"Jan 21, 2024","""📍 𝗙𝗧 en Caracas: Venezuela 3-3 Bolivia.   • La @SeleVinotinto rasga apenas un punto en su debut en el #TorneoPreolímpico — 2024.  ⚽️ • Lacava (37’), Bolívar (41’) y Rivas (63’).  #CONMEBOLPreolimpico",@PonceRance,""""
Kevin Kelsy,Venezolano,Shakhtar Donetsk,No se encontró información,https://twitter.com/SOLOVENEX_/status/1748876855476630010,"Jan 21, 2024","""📍 𝗙𝗧 en Caracas: Venezuela 3-3 Bolivia.   • La @SeleVinotinto rasga apenas un punto en su debut en el #TorneoPreolímpico — 2024.  ⚽️ • Lacava (37’), Bolívar (41’) y Rivas (63’).  #CONMEBOLPreolimpico"
"""",,Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1748828832856224020
"""La primera foto es de 2017, el pequeño @JonAramburu3 encaraba su primer reto internacional con la @RealSociedad ‘cadete’.  ¿La segunda? De ahora. Enero - 2024.   Haciendo su debut con el equipo “donostiarra” en LaLiga de España disputando 45’ de titular en la victoria 0-1 vs. Celta de Vigo.   Del #FUTVE a una de las mejores ligas del mundo. Jon Aramburu: 𝗢𝗕𝗝𝗘𝗧𝗜𝗩𝗢𝗦 𝗖𝗟𝗔𝗥𝗢𝗦.  #VenEx #LaLiga #Aramburu #SoloVenex",📸 Prensa Real Sociedad,"""",,Nicolás Fedor,Venezolano,Academia Puerto Cabello
